Timestamp,Model Name,Parameters,Comments,Class 0 Precision,Class 0 Recall,Class 0 F1-Score,Class 0 Support,Confusion Matrix
2025-01-18 22:59:16,Logistic Regression,"{'max_iter': 1000, 'class_weight': 'balanced'}",,0.27702702702702703,0.7192982456140351,0.4,57.0,"[[41, 16], [107, 149]]"
2025-01-18 22:59:24,XGBoost,"{'learning_rate': np.float64(0.049884303223614666), 'max_depth': np.float64(3.0), 'n_estimators': np.float64(80.0), 'reg_alpha': np.float64(0.010293467869020419), 'reg_lambda': np.float64(7.336946973610682), 'subsample': np.float64(0.8652712790540223)}",,1.0,0.08771929824561403,0.16129032258064516,57.0,"[[5, 52], [0, 256]]"
2025-01-18 23:02:59,XGBoost,"{'learning_rate': np.float64(0.9813789579949571), 'max_depth': np.float64(5.0), 'n_estimators': np.float64(100.0), 'reg_alpha': np.float64(0.3299286104144458), 'reg_lambda': np.float64(4.309324764549477), 'subsample': np.float64(0.9601249429144942)}",,0.48717948717948717,0.3333333333333333,0.3958333333333333,57.0,"[[19, 38], [20, 236]]"
2025-01-18 23:24:35,XGBoost,"{'colsample_bytree': np.float64(0.8058588548294551), 'learning_rate': np.float64(0.6560424536397838), 'max_depth': np.float64(8.0), 'min_child_weight': np.float64(1.0), 'n_estimators': np.float64(380.0), 'reg_alpha': np.float64(0.006949423263346376), 'reg_lambda': np.float64(1.844521759258614), 'scale_pos_weight': np.float64(1.4055718859295996), 'subsample': np.float64(0.8564398834963964)}",,0.4230769230769231,0.38596491228070173,0.4036697247706422,57.0,"[[22, 35], [30, 226]]"
2025-01-18 23:42:15,XGBoost,"{'colsample_bytree': np.float64(0.7802626287168395), 'learning_rate': np.float64(0.7521280248843831), 'max_depth': np.float64(6.0), 'min_child_weight': np.float64(9.0), 'n_estimators': np.float64(210.0), 'reg_alpha': np.float64(0.01929889362147032), 'reg_lambda': np.float64(2.6266678330497863), 'scale_pos_weight': np.float64(1.0264551197468368), 'subsample': np.float64(0.971874439449075)}",,0.4117647058823529,0.24561403508771928,0.3076923076923077,57.0,"[[14, 43], [20, 236]]"
2025-01-18 23:55:05,XGBoost,"{'colsample_bytree': np.float64(0.6492366537616616), 'learning_rate': np.float64(0.9788976099371317), 'max_depth': np.float64(6.0), 'min_child_weight': np.float64(3.0), 'n_estimators': np.float64(330.0), 'reg_alpha': np.float64(0.8218692078436212), 'reg_lambda': np.float64(0.24575553031206643), 'scale_pos_weight': np.float64(8.831145521471665), 'subsample': np.float64(0.6237002140617017)}",Applied PCA to retain 95% variance before training the model.,0.25925925925925924,0.24561403508771928,0.25225225225225223,57.0,"[[14, 43], [40, 216]]"
2025-01-18 23:58:59,XGBoost,"{'colsample_bytree': np.float64(0.9995357912680817), 'learning_rate': np.float64(0.22173141193832738), 'max_depth': np.float64(10.0), 'min_child_weight': np.float64(2.0), 'n_estimators': np.float64(460.0), 'reg_alpha': np.float64(0.28750956804501276), 'reg_lambda': np.float64(0.08263075615138452), 'scale_pos_weight': np.float64(1.0595579979415648), 'subsample': np.float64(0.7359563741296979)}",SMOTE,0.33766233766233766,0.45614035087719296,0.3880597014925373,57.0,"[[26, 31], [51, 205]]"
2025-01-19 00:07:22,XGBoost,"{'colsample_bytree': np.float64(0.9900444353890895), 'gamma': np.float64(0.32415400774107545), 'learning_rate': np.float64(0.2595089729719411), 'max_depth': np.float64(7.0), 'max_leaves': np.float64(60.0), 'min_child_weight': np.float64(2.0), 'n_estimators': np.float64(220.0), 'reg_alpha': np.float64(0.010489656526069877), 'reg_lambda': np.float64(0.266874017855488), 'scale_pos_weight': np.float64(1.0378397992659454), 'subsample': np.float64(0.6023631541824045)}",SMOTE,0.33783783783783783,0.43859649122807015,0.3816793893129771,57.0,"[[25, 32], [49, 207]]"
2025-01-19 00:08:54,XGBoost,"{'colsample_bytree': np.float64(0.7973159673005157), 'gamma': np.float64(0.0703957307462076), 'learning_rate': np.float64(0.12086039629146197), 'max_depth': np.float64(4.0), 'max_leaves': np.float64(90.0), 'min_child_weight': np.float64(3.0), 'n_estimators': np.float64(120.0), 'reg_alpha': np.float64(0.007207271030143921), 'reg_lambda': np.float64(0.056663841936499516), 'scale_pos_weight': np.float64(1.106834321168591), 'subsample': np.float64(0.9955233900851294)}",SMOTE,0.28125,0.631578947368421,0.3891891891891892,57.0,"[[36, 21], [92, 164]]"
2025-01-19 00:10:06,XGBoost,"{'colsample_bytree': np.float64(0.9809137832666285), 'gamma': np.float64(0.09000237120583446), 'learning_rate': np.float64(0.7487749372456624), 'max_depth': np.float64(4.0), 'max_leaves': np.float64(20.0), 'min_child_weight': np.float64(9.0), 'n_estimators': np.float64(220.0), 'reg_alpha': np.float64(0.009120011210594768), 'reg_lambda': np.float64(0.052577927257103495), 'scale_pos_weight': np.float64(1.010273045427406), 'subsample': np.float64(0.910416180113835)}",,0.36666666666666664,0.19298245614035087,0.25287356321839083,57.0,"[[11, 46], [19, 237]]"
